user_id,account_id,snapshot_date,balance
u000000,u000000-chk,2024-09-30,7845.23
u000000,u000000-chk,2024-10-31,9594.69
u000000,u000000-chk,2024-11-30,10358.24
u000000,u000000-sav,2024-09-30,21732.03
u000000,u000000-sav,2024-10-31,22568.96
u000000,u000000-sav,2024-11-30,23897.77
u000000,u000000-crd,2024-09-30,-940.33
u000000,u000000-crd,2024-10-31,-1434.36
u000000,u000000-crd,2024-11-30,-1054.46
u000001,u000001-chk,2024-09-30,8196.90
u000001,u000001-chk,2024-10-31,11605.53
u000001,u000001-chk,2024-11-30,14107.83
u000001,u000001-sav,2024-09-30,24386.63
u000001,u000001-sav,2024-10-31,24649.15
u000001,u000001-sav,2024-11-30,25852.86
u000001,u000001-crd,2024-09-30,-1113.37
u000001,u000001-crd,2024-10-31,-1078.51
u000001,u000001-crd,2024-11-30,-977.70
u000002,u000002-chk,2024-09-30,5622.29
u000002,u000002-chk,2024-10-31,7414.92
u000002,u000002-chk,2024-11-30,9287.17
u000002,u000002-sav,2024-09-30,7951.02
u000002,u000002-sav,2024-10-31,9512.12
u000002,u000002-sav,2024-11-30,10997.77
u000002,u000002-crd,2024-09-30,-846.92
u000002,u000002-crd,2024-10-31,-842.75
u000002,u000002-crd,2024-11-30,-623.34
u000003,u000003-chk,2024-09-30,5141.64
u000003,u000003-chk,2024-10-31,5186.23
u000003,u000003-chk,2024-11-30,5637.11
u000003,u000003-sav,2024-09-30,7374.12
u000003,u000003-sav,2024-10-31,8164.81
u000003,u000003-sav,2024-11-30,8545.83
u000003,u000003-crd,2024-09-30,-1136.25
u000003,u000003-crd,2024-10-31,-1139.63
u000003,u000003-crd,2024-11-30,-1020.57
u000004,u000004-chk,2024-09-30,5839.00
u000004,u000004-chk,2024-10-31,8635.13
u000004,u000004-chk,2024-11-30,11170.61
u000004,u000004-sav,2024-09-30,18259.02
u000004,u000004-sav,2024-10-31,18973.81
u000004,u000004-sav,2024-11-30,20139.40
u000004,u000004-crd,2024-09-30,-904.02
u000004,u000004-crd,2024-10-31,-713.87
u000004,u000004-crd,2024-11-30,-813.90
